image_id,product_id,image_url
1,1,https://cdn.dsmcdn.com/ty1337/product/media/images/prod/PIM/20240529/08/07e7f208-031b-4dff-9ba8-48b9c5384aa7/1_org.jpg
2,2,https://cdn.dsmcdn.com/ty949/product/media/images/20230613/9/385169649/968025185/2/2_org.jpeg
3,3,https://cdn.dsmcdn.com/ty1231/product/media/images/prod/PIM/20240329/12/d89e6503-cbdd-4680-bdc1-b5b1dfb9daad/1_org.jpg
4,4,https://cdn.dsmcdn.com/ty1553/product/media/images/ty1551/prod/QC/20240917/21/7d8540c0-9870-3dcf-8259-19e66e85505f/1_org.jpg
5,5,https://cdn.dsmcdn.com/ty1538/product/media/images/ty1537/prod/QC/20240912/16/32d1c337-5232-306b-9dc9-87f3a51e9af8/1_org.jpg
6,6,https://cdn.dsmcdn.com/ty957/product/media/images/20230627/10/389572291/968133463/1/1_org.jpg
7,7,https://cdn.dsmcdn.com/ty1580/product/media/images/prod/PIM/20241007/07/c56bdb36-9f44-4195-90fc-6bee32b203bc/1_org.jpg
8,8,https://cdn.dsmcdn.com/ty1552/product/media/images/ty1553/prod/QC/20240917/15/b5fdca8a-b310-39e8-a3ec-e6deeadf8563/1_org.jpg
9,9,https://cdn.dsmcdn.com/ty538/product/media/images/20220920/18/177519249/574062558/2/2_org.jpg
10,10,https://cdn.dsmcdn.com/ty1592/product/media/images/prod/PIM/20241023/11/88ca87d9-9ff1-41b9-8d0c-916a81c7332b/1_org.jpg
11,11,https://cdn.dsmcdn.com/ty1018/product/media/images/prod/SPM/PIM/20231019/13/899e8cb7-16a0-3617-bae0-555eacd2e713/1_org.jpg
12,12,https://cdn.dsmcdn.com/ty1597/prod/QC/20241102/15/c115cb01-1145-3cbd-a0ef-8c6b12acc481/1_org.jpg
13,13,https://cdn.dsmcdn.com/ty1385/product/media/images/prod/QC/20240626/12/df343baf-8388-379c-8313-59392ea0af61/1_org.jpg
14,14,https://cdn.dsmcdn.com/ty1035/product/media/images/prod/PIM/20231108/08/1c9e8192-f4b4-457f-b0d3-65d164e79db5/1_org.jpg
15,15,https://cdn.dsmcdn.com/ty1591/product/media/images/prod/PIM/20241023/11/be9c3f13-5631-43d4-84fc-11bf2d7a0534/1_org.jpg
16,16,https://cdn.dsmcdn.com/ty1377/product/media/images/prod/QC/20240624/01/c2824fc5-c3d3-3e61-a1d3-e74d77e2341d/1_org.jpg
17,17,https://cdn.dsmcdn.com/ty1604/prod/QC/20241118/14/d1a63c13-a1e2-32dd-a365-80574a6b0c99/1_org.jpg
18,18,https://cdn.dsmcdn.com/ty1591/product/media/images/prod/PIM/20241023/11/379baa90-7116-4ab8-bec9-c0462d3a5207/1_org.jpg
19,19,https://cdn.dsmcdn.com/ty1532/product/media/images/prod/QC/20240909/10/a875b84a-c2b6-3bd2-94e4-23568c32c829/1_org.jpg
20,20,https://cdn.dsmcdn.com/ty1040/product/media/images/prod/PIM/20231110/06/1946a550-9618-485a-a530-ef61c0a86028/1_org.jpg
21,21,https://cdn.dsmcdn.com/ty666/product/media/images/20221227/17/247680218/92631427/1/1_org.jpg
22,22,https://cdn.dsmcdn.com/ty1548/product/media/images/ty1548/prod/QC/20240916/16/219c8f8f-da7f-353c-8a18-dc80b71de02c/1_org.jpg
23,23,https://cdn.dsmcdn.com/ty1602/prod/QC/20241121/10/e9ea7024-3beb-3209-912b-4f6eed55f9ed/1_org.jpg
24,24,https://cdn.dsmcdn.com/ty1335/product/media/images/prod/PIM/20240529/08/0ebaea3c-94f1-4755-8634-97850b33eb46/1_org.jpg
25,25,https://cdn.dsmcdn.com/ty1337/product/media/images/prod/PIM/20240529/08/07e7f208-031b-4dff-9ba8-48b9c5384aa7/1_org.jpg
26,26,https://cdn.dsmcdn.com/ty949/product/media/images/20230613/9/385169649/968025185/2/2_org.jpeg
27,27,https://cdn.dsmcdn.com/ty1231/product/media/images/prod/PIM/20240329/12/d89e6503-cbdd-4680-bdc1-b5b1dfb9daad/1_org.jpg
28,28,https://cdn.dsmcdn.com/ty1553/product/media/images/ty1551/prod/QC/20240917/21/7d8540c0-9870-3dcf-8259-19e66e85505f/1_org.jpg
29,29,https://cdn.dsmcdn.com/ty1538/product/media/images/ty1537/prod/QC/20240912/16/32d1c337-5232-306b-9dc9-87f3a51e9af8/1_org.jpg
30,30,https://cdn.dsmcdn.com/ty957/product/media/images/20230627/10/389572291/968133463/1/1_org.jpg
31,31,https://cdn.dsmcdn.com/ty1580/product/media/images/prod/PIM/20241007/07/c56bdb36-9f44-4195-90fc-6bee32b203bc/1_org.jpg
